Id,SnapshotDate,ProductId,Brand,Category,SalesVelocity,StockOnHand,TrendScore,MomentumScore,RecommendedQty,CreatedAt
1,2026-06-03,1,DemoRun,Patike,1.57,5.00,0.85,0.69,9,2026-06-03T02:00:00Z
2,2026-06-03,2,DemoWalk,Sandale,1.69,6.00,0.88,0.73,10,2026-06-03T02:00:00Z
3,2026-06-03,3,DemoWarm,Cizme,1.81,4.00,0.91,0.77,11,2026-06-03T02:00:00Z
4,2026-06-03,4,DemoStyle,Odeca,1.45,5.00,0.82,0.65,12,2026-06-03T02:00:00Z
5,2026-06-03,5,DemoRun,Patike,1.57,6.00,0.85,0.69,13,2026-06-03T02:00:00Z
6,2026-06-03,6,DemoWalk,Sandale,1.69,4.00,0.88,0.73,14,2026-06-03T02:00:00Z
7,2026-06-03,7,DemoWarm,Cizme,1.81,5.00,0.91,0.77,15,2026-06-03T02:00:00Z
8,2026-06-03,8,DemoStyle,Odeca,1.45,6.00,0.82,0.65,16,2026-06-03T02:00:00Z
9,2026-06-03,9,DemoRun,Patike,1.57,4.00,0.85,0.69,17,2026-06-03T02:00:00Z
10,2026-06-03,10,DemoWalk,Sandale,1.69,5.00,0.88,0.73,18,2026-06-03T02:00:00Z
11,2026-06-03,11,DemoWarm,Cizme,1.81,6.00,0.91,0.77,19,2026-06-03T02:00:00Z
12,2026-06-03,12,DemoStyle,Odeca,1.45,4.00,0.82,0.65,8,2026-06-03T02:00:00Z
13,2026-06-03,13,DemoRun,Patike,1.57,5.00,0.85,0.69,9,2026-06-03T02:00:00Z
14,2026-06-03,14,DemoWalk,Sandale,1.69,6.00,0.88,0.73,10,2026-06-03T02:00:00Z
15,2026-06-03,15,DemoWarm,Cizme,1.81,4.00,0.91,0.77,11,2026-06-03T02:00:00Z
16,2026-06-03,16,DemoStyle,Odeca,1.03,0.00,0.70,0.40,4,2026-06-03T02:00:00Z
17,2026-06-03,17,DemoRun,Patike,1.11,1.00,0.73,0.44,5,2026-06-03T02:00:00Z
18,2026-06-03,18,DemoWalk,Sandale,1.19,0.00,0.76,0.48,6,2026-06-03T02:00:00Z
19,2026-06-03,19,DemoWarm,Cizme,1.27,1.00,0.79,0.52,7,2026-06-03T02:00:00Z
20,2026-06-03,20,DemoStyle,Odeca,0.95,0.00,0.70,0.40,8,2026-06-03T02:00:00Z
21,2026-06-03,21,DemoRun,Patike,1.03,1.00,0.73,0.44,9,2026-06-03T02:00:00Z
22,2026-06-03,22,DemoWalk,Sandale,1.11,0.00,0.76,0.48,10,2026-06-03T02:00:00Z
23,2026-06-03,23,DemoWarm,Cizme,1.19,1.00,0.79,0.52,11,2026-06-03T02:00:00Z
24,2026-06-03,24,DemoStyle,Odeca,1.27,0.00,0.70,0.40,4,2026-06-03T02:00:00Z
25,2026-06-03,25,DemoRun,Patike,0.95,1.00,0.73,0.44,5,2026-06-03T02:00:00Z
26,2026-06-03,26,DemoWalk,Sandale,1.03,0.00,0.76,0.48,6,2026-06-03T02:00:00Z
27,2026-06-03,27,DemoWarm,Cizme,1.11,1.00,0.79,0.52,7,2026-06-03T02:00:00Z
28,2026-06-03,28,DemoStyle,Odeca,1.19,0.00,0.70,0.40,8,2026-06-03T02:00:00Z
29,2026-06-03,29,DemoRun,Patike,1.27,1.00,0.73,0.44,9,2026-06-03T02:00:00Z
30,2026-06-03,30,DemoWalk,Sandale,0.95,0.00,0.76,0.48,10,2026-06-03T02:00:00Z
31,2026-06-03,31,DemoWarm,Cizme,1.03,1.00,0.79,0.52,11,2026-06-03T02:00:00Z
32,2026-06-03,32,DemoStyle,Odeca,1.11,0.00,0.70,0.40,4,2026-06-03T02:00:00Z
33,2026-06-03,33,DemoRun,Patike,1.19,1.00,0.73,0.44,5,2026-06-03T02:00:00Z
34,2026-06-03,34,DemoWalk,Sandale,1.27,0.00,0.76,0.48,6,2026-06-03T02:00:00Z
35,2026-06-03,35,DemoWarm,Cizme,0.95,1.00,0.79,0.52,7,2026-06-03T02:00:00Z
36,2026-06-03,36,DemoStyle,Odeca,0.10,18.00,0.22,-0.10,0,2026-06-03T02:00:00Z
37,2026-06-03,37,DemoRun,Patike,0.13,19.00,0.24,-0.08,0,2026-06-03T02:00:00Z
38,2026-06-03,38,DemoWalk,Sandale,0.16,20.00,0.26,-0.06,0,2026-06-03T02:00:00Z
39,2026-06-03,39,DemoWarm,Cizme,0.10,21.00,0.28,-0.04,0,2026-06-03T02:00:00Z
40,2026-06-03,40,DemoStyle,Odeca,0.13,22.00,0.22,-0.10,0,2026-06-03T02:00:00Z
41,2026-06-03,41,DemoRun,Patike,0.16,23.00,0.24,-0.08,0,2026-06-03T02:00:00Z
42,2026-06-03,42,DemoWalk,Sandale,0.10,24.00,0.26,-0.06,0,2026-06-03T02:00:00Z
43,2026-06-03,43,DemoWarm,Cizme,0.13,25.00,0.28,-0.04,0,2026-06-03T02:00:00Z
44,2026-06-03,44,DemoStyle,Odeca,0.16,26.00,0.22,-0.10,0,2026-06-03T02:00:00Z
45,2026-06-03,45,DemoRun,Patike,0.10,27.00,0.24,-0.08,0,2026-06-03T02:00:00Z
46,2026-06-03,46,DemoWalk,Sandale,0.13,28.00,0.26,-0.06,0,2026-06-03T02:00:00Z
47,2026-06-03,47,DemoWarm,Cizme,0.16,29.00,0.28,-0.04,0,2026-06-03T02:00:00Z
48,2026-06-03,48,DemoStyle,Odeca,0.10,18.00,0.22,-0.10,0,2026-06-03T02:00:00Z
49,2026-06-03,49,DemoRun,Patike,0.13,19.00,0.24,-0.08,0,2026-06-03T02:00:00Z
50,2026-06-03,50,DemoWalk,Sandale,0.16,20.00,0.26,-0.06,0,2026-06-03T02:00:00Z
51,2026-06-03,51,DemoWarm,Cizme,0.10,21.00,0.28,-0.04,0,2026-06-03T02:00:00Z
52,2026-06-03,52,DemoStyle,Odeca,0.13,22.00,0.22,-0.10,0,2026-06-03T02:00:00Z
53,2026-06-03,53,DemoRun,Patike,0.16,23.00,0.24,-0.08,0,2026-06-03T02:00:00Z
54,2026-06-03,54,DemoWalk,Sandale,0.10,30.00,0.14,-0.18,0,2026-06-03T02:00:00Z
55,2026-06-03,55,DemoWarm,Cizme,0.12,31.00,0.16,-0.16,0,2026-06-03T02:00:00Z
56,2026-06-03,56,DemoStyle,Odeca,0.06,32.00,0.18,-0.14,0,2026-06-03T02:00:00Z
57,2026-06-03,57,DemoRun,Patike,0.08,33.00,0.14,-0.18,0,2026-06-03T02:00:00Z
58,2026-06-03,58,DemoWalk,Sandale,0.10,34.00,0.16,-0.16,0,2026-06-03T02:00:00Z
59,2026-06-03,59,DemoWarm,Cizme,0.12,35.00,0.18,-0.14,0,2026-06-03T02:00:00Z
60,2026-06-03,60,DemoStyle,Odeca,0.06,36.00,0.14,-0.18,0,2026-06-03T02:00:00Z
61,2026-06-03,61,DemoRun,Patike,0.08,37.00,0.16,-0.16,0,2026-06-03T02:00:00Z
62,2026-06-03,62,DemoWalk,Sandale,0.10,38.00,0.18,-0.14,0,2026-06-03T02:00:00Z
63,2026-06-03,63,DemoWarm,Cizme,0.12,39.00,0.14,-0.18,0,2026-06-03T02:00:00Z
64,2026-06-03,64,DemoStyle,Odeca,0.48,8.00,0.56,0.20,1,2026-06-03T02:00:00Z
65,2026-06-03,65,DemoRun,Patike,0.53,9.00,0.48,0.12,2,2026-06-03T02:00:00Z
66,2026-06-03,66,DemoWalk,Sandale,0.28,10.00,0.50,0.14,3,2026-06-03T02:00:00Z
67,2026-06-03,67,DemoWarm,Cizme,0.33,11.00,0.52,0.16,4,2026-06-03T02:00:00Z
68,2026-06-03,68,DemoStyle,Odeca,0.38,12.00,0.54,0.18,1,2026-06-03T02:00:00Z
69,2026-06-03,69,DemoRun,Patike,0.43,13.00,0.56,0.20,2,2026-06-03T02:00:00Z
70,2026-06-03,70,DemoWalk,Sandale,0.48,14.00,0.48,0.12,3,2026-06-03T02:00:00Z
71,2026-06-03,71,DemoWarm,Cizme,0.53,15.00,0.50,0.14,4,2026-06-03T02:00:00Z
72,2026-06-03,72,DemoStyle,Odeca,0.28,8.00,0.52,0.16,1,2026-06-03T02:00:00Z
73,2026-06-03,73,DemoRun,Patike,0.33,9.00,0.54,0.18,2,2026-06-03T02:00:00Z
74,2026-06-03,74,DemoWalk,Sandale,0.38,10.00,0.56,0.20,3,2026-06-03T02:00:00Z
75,2026-06-03,75,DemoWarm,Cizme,0.43,11.00,0.48,0.12,4,2026-06-03T02:00:00Z
76,2026-06-03,76,DemoStyle,Odeca,0.48,12.00,0.50,0.14,1,2026-06-03T02:00:00Z
77,2026-06-03,77,DemoRun,Patike,0.53,13.00,0.52,0.16,2,2026-06-03T02:00:00Z
78,2026-06-03,78,DemoWalk,Sandale,0.28,14.00,0.54,0.18,3,2026-06-03T02:00:00Z
79,2026-06-03,79,DemoWarm,Cizme,0.33,15.00,0.56,0.20,4,2026-06-03T02:00:00Z
80,2026-06-03,80,DemoStyle,Odeca,0.38,8.00,0.48,0.12,1,2026-06-03T02:00:00Z
81,2026-06-03,81,DemoRun,Patike,0.43,9.00,0.50,0.14,2,2026-06-03T02:00:00Z
82,2026-06-03,82,DemoWalk,Sandale,0.48,10.00,0.52,0.16,3,2026-06-03T02:00:00Z
83,2026-06-03,83,DemoWarm,Cizme,0.53,11.00,0.54,0.18,4,2026-06-03T02:00:00Z
84,2026-06-03,84,DemoStyle,Odeca,0.28,12.00,0.56,0.20,1,2026-06-03T02:00:00Z
85,2026-06-03,85,DemoRun,Patike,0.33,13.00,0.48,0.12,2,2026-06-03T02:00:00Z
86,2026-06-03,86,DemoWalk,Sandale,0.38,14.00,0.50,0.14,3,2026-06-03T02:00:00Z
87,2026-06-03,87,DemoWarm,Cizme,0.43,15.00,0.52,0.16,4,2026-06-03T02:00:00Z
88,2026-06-03,88,DemoStyle,Odeca,0.48,8.00,0.54,0.18,1,2026-06-03T02:00:00Z
89,2026-06-03,89,DemoRun,Patike,0.53,9.00,0.56,0.20,2,2026-06-03T02:00:00Z
90,2026-06-03,90,DemoWalk,Sandale,0.28,10.00,0.48,0.12,3,2026-06-03T02:00:00Z
91,2026-06-03,91,DemoWarm,Cizme,0.33,11.00,0.50,0.14,4,2026-06-03T02:00:00Z
92,2026-06-03,92,DemoStyle,Odeca,0.38,12.00,0.52,0.16,1,2026-06-03T02:00:00Z
93,2026-06-03,93,DemoRun,Patike,0.43,13.00,0.54,0.18,2,2026-06-03T02:00:00Z
94,2026-06-03,94,DemoWalk,Sandale,0.48,14.00,0.56,0.20,3,2026-06-03T02:00:00Z
95,2026-06-03,95,DemoWarm,Cizme,0.53,15.00,0.48,0.12,4,2026-06-03T02:00:00Z
96,2026-06-03,96,DemoStyle,Odeca,0.28,8.00,0.50,0.14,1,2026-06-03T02:00:00Z
97,2026-06-03,97,DemoRun,Patike,0.33,9.00,0.52,0.16,2,2026-06-03T02:00:00Z
98,2026-06-03,98,DemoWalk,Sandale,0.38,10.00,0.54,0.18,3,2026-06-03T02:00:00Z
99,2026-06-03,99,DemoWarm,Cizme,0.43,11.00,0.56,0.20,4,2026-06-03T02:00:00Z
100,2026-06-03,100,DemoStyle,Odeca,0.48,12.00,0.48,0.12,1,2026-06-03T02:00:00Z
101,2026-06-03,101,DemoRun,Patike,0.06,3.00,0.34,0.04,0,2026-06-03T02:00:00Z
102,2026-06-03,102,DemoWalk,Sandale,0.07,4.00,0.30,0.02,0,2026-06-03T02:00:00Z
103,2026-06-03,103,DemoWarm,Cizme,0.08,5.00,0.32,0.03,0,2026-06-03T02:00:00Z
104,2026-06-03,104,DemoStyle,Odeca,0.05,6.00,0.34,0.04,0,2026-06-03T02:00:00Z
105,2026-06-03,105,DemoRun,Patike,0.06,2.00,0.30,0.02,0,2026-06-03T02:00:00Z
106,2026-06-03,106,DemoWalk,Sandale,0.07,3.00,0.32,0.03,0,2026-06-03T02:00:00Z
107,2026-06-03,107,DemoWarm,Cizme,0.08,4.00,0.34,0.04,0,2026-06-03T02:00:00Z
108,2026-06-03,108,DemoStyle,Odeca,0.05,5.00,0.30,0.02,0,2026-06-03T02:00:00Z
109,2026-06-03,109,DemoRun,Patike,0.06,6.00,0.32,0.03,0,2026-06-03T02:00:00Z
110,2026-06-03,110,DemoWalk,Sandale,0.07,2.00,0.34,0.04,0,2026-06-03T02:00:00Z
111,2026-06-03,111,DemoWarm,Cizme,0.03,0.00,0.19,-0.01,0,2026-06-03T02:00:00Z
112,2026-06-03,112,DemoStyle,Odeca,0.02,1.00,0.18,-0.02,0,2026-06-03T02:00:00Z
113,2026-06-03,113,DemoRun,Patike,0.03,2.00,0.19,-0.01,0,2026-06-03T02:00:00Z
114,2026-06-03,114,DemoWalk,Sandale,0.02,0.00,0.18,-0.02,0,2026-06-03T02:00:00Z
115,2026-06-03,115,DemoStyle,,0.03,1.00,0.19,-0.01,0,2026-06-03T02:00:00Z
116,2026-06-03,116,DemoStyle,,0.02,2.00,0.18,-0.02,0,2026-06-03T02:00:00Z
117,2026-06-03,117,DemoStyle,,0.03,0.00,0.19,-0.01,0,2026-06-03T02:00:00Z
118,2026-06-03,118,DemoStyle,,0.02,1.00,0.18,-0.02,0,2026-06-03T02:00:00Z
119,2026-06-03,119,DemoWarm,Cizme,0.03,2.00,0.19,-0.01,0,2026-06-03T02:00:00Z
120,2026-06-03,120,DemoStyle,Odeca,0.02,0.00,0.18,-0.02,0,2026-06-03T02:00:00Z
