ProductKey,ProductId,PLU,ProductName,Category,SubCategory,Brand,Velicina,Boja,Materijal,FootwearTypeId,SupplierId,SeasonId,PurchasePrice,PurchasePriceRsd,FirstSalePrice,SalePrice,IsActive,Timestamp,Kolicina,MinimalnaKolicina,DataOrigin
1,1,DEMO-0001,Demo Patike 001,Patike,Patike premium,DemoRun,39,Bela,Tekstil,1,2,1,4350.00,508950.00,6742.50,7830.00,True,2026-06-03T02:00:00Z,5,8,access
2,2,DEMO-0002,Demo Sandale 002,Sandale,Sandale premium,DemoWalk,40,Braon,Koza,2,1,2,4500.00,526500.00,6975.00,8100.00,True,2026-06-03T02:00:00Z,6,8,access
3,3,DEMO-0003,Demo Cizme 003,Cizme,Cizme premium,DemoWarm,41,Plava,Nabuk,3,2,3,4650.00,544050.00,7207.50,8370.00,True,2026-06-03T02:00:00Z,4,8,access
4,4,DEMO-0004,Demo Odeca 004,Odeca,Odeca premium,DemoStyle,42,Siva,Pamuk,4,1,4,4800.00,561600.00,7440.00,8640.00,True,2026-06-03T02:00:00Z,5,8,access
5,5,DEMO-0005,Demo Patike 005,Patike,Patike premium,DemoRun,43,Crvena,Tekstil,1,2,1,4200.00,491400.00,6510.00,7560.00,True,2026-06-03T02:00:00Z,6,8,access
6,6,DEMO-0006,Demo Sandale 006,Sandale,Sandale premium,DemoWalk,44,Zelena,Koza,2,1,2,4350.00,508950.00,6742.50,7830.00,True,2026-06-03T02:00:00Z,4,8,access
7,7,DEMO-0007,Demo Cizme 007,Cizme,Cizme premium,DemoWarm,38,Crna,Nabuk,3,2,3,4500.00,526500.00,6975.00,8100.00,True,2026-06-03T02:00:00Z,5,8,access
8,8,DEMO-0008,Demo Odeca 008,Odeca,Odeca premium,DemoStyle,39,Bela,Pamuk,4,1,4,4650.00,544050.00,7207.50,8370.00,True,2026-06-03T02:00:00Z,6,8,access
9,9,DEMO-0009,Demo Patike 009,Patike,Patike premium,DemoRun,40,Braon,Tekstil,1,2,1,4800.00,561600.00,7440.00,8640.00,True,2026-06-03T02:00:00Z,4,8,access
10,10,DEMO-0010,Demo Sandale 010,Sandale,Sandale premium,DemoWalk,41,Plava,Koza,2,1,2,4200.00,491400.00,6510.00,7560.00,True,2026-06-03T02:00:00Z,5,8,access
11,11,DEMO-0011,Demo Cizme 011,Cizme,Cizme premium,DemoWarm,42,Siva,Nabuk,3,2,3,4350.00,508950.00,6742.50,7830.00,True,2026-06-03T02:00:00Z,6,8,access
12,12,DEMO-0012,Demo Odeca 012,Odeca,Odeca premium,DemoStyle,43,Crvena,Pamuk,4,1,4,4500.00,526500.00,6975.00,8100.00,True,2026-06-03T02:00:00Z,4,8,access
13,13,DEMO-0013,Demo Patike 013,Patike,Patike premium,DemoRun,44,Zelena,Tekstil,1,2,1,4650.00,544050.00,7207.50,8370.00,True,2026-06-03T02:00:00Z,5,8,access
14,14,DEMO-0014,Demo Sandale 014,Sandale,Sandale premium,DemoWalk,38,Crna,Koza,2,1,2,4800.00,561600.00,7440.00,8640.00,True,2026-06-03T02:00:00Z,6,8,access
15,15,DEMO-0015,Demo Cizme 015,Cizme,Cizme premium,DemoWarm,39,Bela,Nabuk,3,2,3,4200.00,491400.00,6510.00,7560.00,True,2026-06-03T02:00:00Z,4,8,access
16,16,DEMO-0016,Demo Odeca 016,Odeca,Odeca premium,DemoStyle,40,Braon,Pamuk,4,3,4,4160.00,486720.00,6448.00,7488.00,True,2026-06-03T02:00:00Z,0,6,access
17,17,DEMO-0017,Demo Patike 017,Patike,Patike premium,DemoRun,41,Plava,Tekstil,1,3,1,4290.00,501930.00,6649.50,7722.00,True,2026-06-03T02:00:00Z,1,6,access
18,18,DEMO-0018,Demo Sandale 018,Sandale,Sandale premium,DemoWalk,42,Siva,Koza,2,1,2,4420.00,517140.00,6851.00,7956.00,True,2026-06-03T02:00:00Z,0,6,access
19,19,DEMO-0019,Demo Cizme 019,Cizme,Cizme premium,DemoWarm,43,Crvena,Nabuk,3,3,3,4550.00,532350.00,7052.50,8190.00,True,2026-06-03T02:00:00Z,1,6,access
20,20,DEMO-0020,Demo Odeca 020,Odeca,Odeca premium,DemoStyle,44,Zelena,Pamuk,4,3,4,4680.00,547560.00,7254.00,8424.00,True,2026-06-03T02:00:00Z,0,6,access
21,21,DEMO-0021,Demo Patike 021,Patike,Patike premium,DemoRun,38,Crna,Tekstil,1,1,1,3900.00,456300.00,6045.00,7020.00,True,2026-06-03T02:00:00Z,1,6,access
22,22,DEMO-0022,Demo Sandale 022,Sandale,Sandale premium,DemoWalk,39,Bela,Koza,2,3,2,4030.00,471510.00,6246.50,7254.00,True,2026-06-03T02:00:00Z,0,6,access
23,23,DEMO-0023,Demo Cizme 023,Cizme,Cizme premium,DemoWarm,40,Braon,Nabuk,3,3,3,4160.00,486720.00,6448.00,7488.00,True,2026-06-03T02:00:00Z,1,6,access
