Id,PLU,Naziv,IDTipObuce,IDDobavljac,NabavnaCena,NabavnaCenaDin,PrvaProdajnaCena,ProdajnaCena,Velicina,Boja,Kolicina,MinimalnaKolicina,Komentar,IDObjekat,IDSezona,UpdatedAt,Kategorija,Pol,Materijal,DataOrigin,SourceTableKey,SourceRowId,SourceUpdatedAtUtc,SourceHash,SourceBatchId,ImagePath
1,DEMO-0001,Demo Patike 001,1,2,4350.00,508950.00,6742.50,7830.00,39,Bela,5,8,Demo item BOOST,1,1,2026-06-03T01:59:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100001,2026-06-03T01:59:00Z,demo-art-0001,1001,/demo/images/DEMO-0001.jpg
2,DEMO-0002,Demo Sandale 002,2,1,4500.00,526500.00,6975.00,8100.00,40,Braon,6,8,Demo item BOOST,2,2,2026-06-03T01:58:00Z,Sandale,Zensko,Koza,access,demo_artikli,100002,2026-06-03T01:58:00Z,demo-art-0002,1001,/demo/images/DEMO-0002.jpg
3,DEMO-0003,Demo Cizme 003,3,2,4650.00,544050.00,7207.50,8370.00,41,Plava,4,8,Demo item BOOST,3,3,2026-06-03T01:57:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100003,2026-06-03T01:57:00Z,demo-art-0003,1001,/demo/images/DEMO-0003.jpg
4,DEMO-0004,Demo Odeca 004,4,1,4800.00,561600.00,7440.00,8640.00,42,Siva,5,8,Demo item BOOST,1,4,2026-06-03T01:56:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100004,2026-06-03T01:56:00Z,demo-art-0004,1001,/demo/images/DEMO-0004.jpg
5,DEMO-0005,Demo Patike 005,1,2,4200.00,491400.00,6510.00,7560.00,43,Crvena,6,8,Demo item BOOST,2,1,2026-06-03T01:55:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100005,2026-06-03T01:55:00Z,demo-art-0005,1001,/demo/images/DEMO-0005.jpg
6,DEMO-0006,Demo Sandale 006,2,1,4350.00,508950.00,6742.50,7830.00,44,Zelena,4,8,Demo item BOOST,3,2,2026-06-03T01:54:00Z,Sandale,Zensko,Koza,access,demo_artikli,100006,2026-06-03T01:54:00Z,demo-art-0006,1001,/demo/images/DEMO-0006.jpg
7,DEMO-0007,Demo Cizme 007,3,2,4500.00,526500.00,6975.00,8100.00,38,Crna,5,8,Demo item BOOST,1,3,2026-06-03T01:53:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100007,2026-06-03T01:53:00Z,demo-art-0007,1001,/demo/images/DEMO-0007.jpg
8,DEMO-0008,Demo Odeca 008,4,1,4650.00,544050.00,7207.50,8370.00,39,Bela,6,8,Demo item BOOST,2,4,2026-06-03T01:52:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100008,2026-06-03T01:52:00Z,demo-art-0008,1001,/demo/images/DEMO-0008.jpg
9,DEMO-0009,Demo Patike 009,1,2,4800.00,561600.00,7440.00,8640.00,40,Braon,4,8,Demo item BOOST,3,1,2026-06-03T01:51:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100009,2026-06-03T01:51:00Z,demo-art-0009,1001,/demo/images/DEMO-0009.jpg
10,DEMO-0010,Demo Sandale 010,2,1,4200.00,491400.00,6510.00,7560.00,41,Plava,5,8,Demo item BOOST,1,2,2026-06-03T01:50:00Z,Sandale,Zensko,Koza,access,demo_artikli,100010,2026-06-03T01:50:00Z,demo-art-0010,1001,/demo/images/DEMO-0010.jpg
11,DEMO-0011,Demo Cizme 011,3,2,4350.00,508950.00,6742.50,7830.00,42,Siva,6,8,Demo item BOOST,2,3,2026-06-03T01:49:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100011,2026-06-03T01:49:00Z,demo-art-0011,1001,/demo/images/DEMO-0011.jpg
12,DEMO-0012,Demo Odeca 012,4,1,4500.00,526500.00,6975.00,8100.00,43,Crvena,4,8,Demo item BOOST,3,4,2026-06-03T01:48:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100012,2026-06-03T01:48:00Z,demo-art-0012,1001,/demo/images/DEMO-0012.jpg
13,DEMO-0013,Demo Patike 013,1,2,4650.00,544050.00,7207.50,8370.00,44,Zelena,5,8,Demo item BOOST,1,1,2026-06-03T01:47:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100013,2026-06-03T01:47:00Z,demo-art-0013,1001,/demo/images/DEMO-0013.jpg
14,DEMO-0014,Demo Sandale 014,2,1,4800.00,561600.00,7440.00,8640.00,38,Crna,6,8,Demo item BOOST,2,2,2026-06-03T01:46:00Z,Sandale,Zensko,Koza,access,demo_artikli,100014,2026-06-03T01:46:00Z,demo-art-0014,1001,/demo/images/DEMO-0014.jpg
15,DEMO-0015,Demo Cizme 015,3,2,4200.00,491400.00,6510.00,7560.00,39,Bela,4,8,Demo item BOOST,3,3,2026-06-03T01:45:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100015,2026-06-03T01:45:00Z,demo-art-0015,1001,/demo/images/DEMO-0015.jpg
16,DEMO-0016,Demo Odeca 016,4,3,4160.00,486720.00,6448.00,7488.00,40,Braon,0,6,Demo item REPLENISH,1,4,2026-06-03T01:44:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100016,2026-06-03T01:44:00Z,demo-art-0016,1001,/demo/images/DEMO-0016.jpg
17,DEMO-0017,Demo Patike 017,1,3,4290.00,501930.00,6649.50,7722.00,41,Plava,1,6,Demo item REPLENISH,2,1,2026-06-03T01:43:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100017,2026-06-03T01:43:00Z,demo-art-0017,1001,/demo/images/DEMO-0017.jpg
18,DEMO-0018,Demo Sandale 018,2,1,4420.00,517140.00,6851.00,7956.00,42,Siva,0,6,Demo item REPLENISH,3,2,2026-06-03T01:42:00Z,Sandale,Zensko,Koza,access,demo_artikli,100018,2026-06-03T01:42:00Z,demo-art-0018,1001,/demo/images/DEMO-0018.jpg
19,DEMO-0019,Demo Cizme 019,3,3,4550.00,532350.00,7052.50,8190.00,43,Crvena,1,6,Demo item REPLENISH,1,3,2026-06-03T01:41:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100019,2026-06-03T01:41:00Z,demo-art-0019,1001,/demo/images/DEMO-0019.jpg
20,DEMO-0020,Demo Odeca 020,4,3,4680.00,547560.00,7254.00,8424.00,44,Zelena,0,6,Demo item REPLENISH,2,4,2026-06-03T01:40:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100020,2026-06-03T01:40:00Z,demo-art-0020,1001,/demo/images/DEMO-0020.jpg
21,DEMO-0021,Demo Patike 021,1,1,3900.00,456300.00,6045.00,7020.00,38,Crna,1,6,Demo item REPLENISH,3,1,2026-06-03T01:39:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100021,2026-06-03T01:39:00Z,demo-art-0021,1001,/demo/images/DEMO-0021.jpg
22,DEMO-0022,Demo Sandale 022,2,3,4030.00,471510.00,6246.50,7254.00,39,Bela,0,6,Demo item REPLENISH,1,2,2026-06-03T01:38:00Z,Sandale,Zensko,Koza,access,demo_artikli,100022,2026-06-03T01:38:00Z,demo-art-0022,1001,/demo/images/DEMO-0022.jpg
23,DEMO-0023,Demo Cizme 023,3,3,4160.00,486720.00,6448.00,7488.00,40,Braon,1,6,Demo item REPLENISH,2,3,2026-06-03T01:37:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100023,2026-06-03T01:37:00Z,demo-art-0023,1001,/demo/images/DEMO-0023.jpg
24,DEMO-0024,Demo Odeca 024,4,1,4290.00,501930.00,6649.50,7722.00,41,Plava,0,6,Demo item REPLENISH,3,4,2026-06-03T01:36:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100024,2026-06-03T01:36:00Z,demo-art-0024,1001,/demo/images/DEMO-0024.jpg
25,DEMO-0025,Demo Patike 025,1,3,4420.00,517140.00,6851.00,7956.00,42,Siva,1,6,Demo item REPLENISH,1,1,2026-06-03T01:35:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100025,2026-06-03T01:35:00Z,demo-art-0025,1001,/demo/images/DEMO-0025.jpg
26,DEMO-0026,Demo Sandale 026,2,3,4550.00,532350.00,7052.50,8190.00,43,Crvena,0,6,Demo item REPLENISH,2,2,2026-06-03T01:34:00Z,Sandale,Zensko,Koza,access,demo_artikli,100026,2026-06-03T01:34:00Z,demo-art-0026,1001,/demo/images/DEMO-0026.jpg
27,DEMO-0027,Demo Cizme 027,3,1,4680.00,547560.00,7254.00,8424.00,44,Zelena,1,6,Demo item REPLENISH,3,3,2026-06-03T01:33:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100027,2026-06-03T01:33:00Z,demo-art-0027,1001,/demo/images/DEMO-0027.jpg
28,DEMO-0028,Demo Odeca 028,4,3,3900.00,456300.00,6045.00,7020.00,38,Crna,0,6,Demo item REPLENISH,1,4,2026-06-03T01:32:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100028,2026-06-03T01:32:00Z,demo-art-0028,1001,/demo/images/DEMO-0028.jpg
29,DEMO-0029,Demo Patike 029,1,3,4030.00,471510.00,6246.50,7254.00,39,Bela,1,6,Demo item REPLENISH,2,1,2026-06-03T01:31:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100029,2026-06-03T01:31:00Z,demo-art-0029,1001,/demo/images/DEMO-0029.jpg
30,DEMO-0030,Demo Sandale 030,2,1,4160.00,486720.00,6448.00,7488.00,40,Braon,0,6,Demo item REPLENISH,3,2,2026-06-03T01:30:00Z,Sandale,Zensko,Koza,access,demo_artikli,100030,2026-06-03T01:30:00Z,demo-art-0030,1001,/demo/images/DEMO-0030.jpg
31,DEMO-0031,Demo Cizme 031,3,3,4290.00,501930.00,6649.50,7722.00,41,Plava,1,6,Demo item REPLENISH,1,3,2026-06-03T01:29:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100031,2026-06-03T01:29:00Z,demo-art-0031,1001,/demo/images/DEMO-0031.jpg
32,DEMO-0032,Demo Odeca 032,4,3,4420.00,517140.00,6851.00,7956.00,42,Siva,0,6,Demo item REPLENISH,2,4,2026-06-03T01:28:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100032,2026-06-03T01:28:00Z,demo-art-0032,1001,/demo/images/DEMO-0032.jpg
33,DEMO-0033,Demo Patike 033,1,1,4550.00,532350.00,7052.50,8190.00,43,Crvena,1,6,Demo item REPLENISH,3,1,2026-06-03T01:27:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100033,2026-06-03T01:27:00Z,demo-art-0033,1001,/demo/images/DEMO-0033.jpg
34,DEMO-0034,Demo Sandale 034,2,3,4680.00,547560.00,7254.00,8424.00,44,Zelena,0,6,Demo item REPLENISH,1,2,2026-06-03T01:26:00Z,Sandale,Zensko,Koza,access,demo_artikli,100034,2026-06-03T01:26:00Z,demo-art-0034,1001,/demo/images/DEMO-0034.jpg
35,DEMO-0035,Demo Cizme 035,3,3,3900.00,456300.00,6045.00,7020.00,38,Crna,1,6,Demo item REPLENISH,2,3,2026-06-03T01:25:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100035,2026-06-03T01:25:00Z,demo-art-0035,1001,/demo/images/DEMO-0035.jpg
36,DEMO-0036,Demo Odeca 036,4,4,5100.00,596700.00,7905.00,9180.00,39,Bela,18,5,Demo item MARKDOWN,3,4,2026-06-03T01:24:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100036,2026-06-03T01:24:00Z,demo-art-0036,1001,/demo/images/DEMO-0036.jpg
37,DEMO-0037,Demo Patike 037,1,5,5280.00,617760.00,8184.00,9504.00,40,Braon,19,5,Demo item MARKDOWN,1,1,2026-06-03T01:23:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100037,2026-06-03T01:23:00Z,demo-art-0037,1001,/demo/images/DEMO-0037.jpg
38,DEMO-0038,Demo Sandale 038,2,4,5460.00,638820.00,8463.00,9828.00,41,Plava,20,5,Demo item MARKDOWN,2,2,2026-06-03T01:22:00Z,Sandale,Zensko,Koza,access,demo_artikli,100038,2026-06-03T01:22:00Z,demo-art-0038,1001,/demo/images/DEMO-0038.jpg
39,DEMO-0039,Demo Cizme 039,3,5,5640.00,659880.00,8742.00,10152.00,42,Siva,21,5,Demo item MARKDOWN,3,3,2026-06-03T01:21:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100039,2026-06-03T01:21:00Z,demo-art-0039,1001,/demo/images/DEMO-0039.jpg
40,DEMO-0040,Demo Odeca 040,4,4,5820.00,680940.00,9021.00,10476.00,43,Crvena,22,5,Demo item MARKDOWN,1,4,2026-06-03T01:20:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100040,2026-06-03T01:20:00Z,demo-art-0040,1001,/demo/images/DEMO-0040.jpg
41,DEMO-0041,Demo Patike 041,1,5,6000.00,702000.00,9300.00,10800.00,44,Zelena,23,5,Demo item MARKDOWN,2,1,2026-06-03T01:19:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100041,2026-06-03T01:19:00Z,demo-art-0041,1001,/demo/images/DEMO-0041.jpg
42,DEMO-0042,Demo Sandale 042,2,4,5100.00,596700.00,7905.00,9180.00,38,Crna,24,5,Demo item MARKDOWN,3,2,2026-06-03T01:18:00Z,Sandale,Zensko,Koza,access,demo_artikli,100042,2026-06-03T01:18:00Z,demo-art-0042,1001,/demo/images/DEMO-0042.jpg
43,DEMO-0043,Demo Cizme 043,3,5,5280.00,617760.00,8184.00,9504.00,39,Bela,25,5,Demo item MARKDOWN,1,3,2026-06-03T01:17:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100043,2026-06-03T01:17:00Z,demo-art-0043,1001,/demo/images/DEMO-0043.jpg
44,DEMO-0044,Demo Odeca 044,4,4,5460.00,638820.00,8463.00,9828.00,40,Braon,26,5,Demo item MARKDOWN,2,4,2026-06-03T01:16:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100044,2026-06-03T01:16:00Z,demo-art-0044,1001,/demo/images/DEMO-0044.jpg
45,DEMO-0045,Demo Patike 045,1,5,5640.00,659880.00,8742.00,10152.00,41,Plava,27,5,Demo item MARKDOWN,3,1,2026-06-03T01:15:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100045,2026-06-03T01:15:00Z,demo-art-0045,1001,/demo/images/DEMO-0045.jpg
46,DEMO-0046,Demo Sandale 046,2,4,5820.00,680940.00,9021.00,10476.00,42,Siva,28,5,Demo item MARKDOWN,1,2,2026-06-03T01:14:00Z,Sandale,Zensko,Koza,access,demo_artikli,100046,2026-06-03T01:14:00Z,demo-art-0046,1001,/demo/images/DEMO-0046.jpg
47,DEMO-0047,Demo Cizme 047,3,5,6000.00,702000.00,9300.00,10800.00,43,Crvena,29,5,Demo item MARKDOWN,2,3,2026-06-03T01:13:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100047,2026-06-03T01:13:00Z,demo-art-0047,1001,/demo/images/DEMO-0047.jpg
48,DEMO-0048,Demo Odeca 048,4,4,5100.00,596700.00,7905.00,9180.00,44,Zelena,18,5,Demo item MARKDOWN,3,4,2026-06-03T01:12:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100048,2026-06-03T01:12:00Z,demo-art-0048,1001,/demo/images/DEMO-0048.jpg
49,DEMO-0049,Demo Patike 049,1,5,5280.00,617760.00,8184.00,9504.00,38,Crna,19,5,Demo item MARKDOWN,1,1,2026-06-03T01:11:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100049,2026-06-03T01:11:00Z,demo-art-0049,1001,/demo/images/DEMO-0049.jpg
50,DEMO-0050,Demo Sandale 050,2,4,5460.00,638820.00,8463.00,9828.00,39,Bela,20,5,Demo item MARKDOWN,2,2,2026-06-03T01:10:00Z,Sandale,Zensko,Koza,access,demo_artikli,100050,2026-06-03T01:10:00Z,demo-art-0050,1001,/demo/images/DEMO-0050.jpg
51,DEMO-0051,Demo Cizme 051,3,5,5640.00,659880.00,8742.00,10152.00,40,Braon,21,5,Demo item MARKDOWN,3,3,2026-06-03T01:09:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100051,2026-06-03T01:09:00Z,demo-art-0051,1001,/demo/images/DEMO-0051.jpg
52,DEMO-0052,Demo Odeca 052,4,4,5820.00,680940.00,9021.00,10476.00,41,Plava,22,5,Demo item MARKDOWN,1,4,2026-06-03T01:08:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100052,2026-06-03T01:08:00Z,demo-art-0052,1001,/demo/images/DEMO-0052.jpg
53,DEMO-0053,Demo Patike 053,1,5,6000.00,702000.00,9300.00,10800.00,42,Siva,23,5,Demo item MARKDOWN,2,1,2026-06-03T01:07:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100053,2026-06-03T01:07:00Z,demo-art-0053,1001,/demo/images/DEMO-0053.jpg
54,DEMO-0054,Demo Sandale 054,2,5,3840.00,449280.00,5952.00,6912.00,43,Crvena,30,10,Demo item DO_NOT_ORDER,3,2,2026-06-03T01:06:00Z,Sandale,Zensko,Koza,access,demo_artikli,100054,2026-06-03T01:06:00Z,demo-art-0054,1001,/demo/images/DEMO-0054.jpg
55,DEMO-0055,Demo Cizme 055,3,5,3960.00,463320.00,6138.00,7128.00,44,Zelena,31,10,Demo item DO_NOT_ORDER,1,3,2026-06-03T01:05:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100055,2026-06-03T01:05:00Z,demo-art-0055,1001,/demo/images/DEMO-0055.jpg
56,DEMO-0056,Demo Odeca 056,4,5,3600.00,421200.00,5580.00,6480.00,38,Crna,32,10,Demo item DO_NOT_ORDER,2,4,2026-06-03T01:04:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100056,2026-06-03T01:04:00Z,demo-art-0056,1001,/demo/images/DEMO-0056.jpg
57,DEMO-0057,Demo Patike 057,1,5,3720.00,435240.00,5766.00,6696.00,39,Bela,33,10,Demo item DO_NOT_ORDER,3,1,2026-06-03T01:03:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100057,2026-06-03T01:03:00Z,demo-art-0057,1001,/demo/images/DEMO-0057.jpg
58,DEMO-0058,Demo Sandale 058,2,5,3840.00,449280.00,5952.00,6912.00,40,Braon,34,10,Demo item DO_NOT_ORDER,1,2,2026-06-03T01:02:00Z,Sandale,Zensko,Koza,access,demo_artikli,100058,2026-06-03T01:02:00Z,demo-art-0058,1001,/demo/images/DEMO-0058.jpg
59,DEMO-0059,Demo Cizme 059,3,5,3960.00,463320.00,6138.00,7128.00,41,Plava,35,10,Demo item DO_NOT_ORDER,2,3,2026-06-03T01:01:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100059,2026-06-03T01:01:00Z,demo-art-0059,1001,/demo/images/DEMO-0059.jpg
60,DEMO-0060,Demo Odeca 060,4,5,3600.00,421200.00,5580.00,6480.00,42,Siva,36,10,Demo item DO_NOT_ORDER,3,4,2026-06-03T01:00:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100060,2026-06-03T01:00:00Z,demo-art-0060,1001,/demo/images/DEMO-0060.jpg
61,DEMO-0061,Demo Patike 061,1,5,3720.00,435240.00,5766.00,6696.00,43,Crvena,37,10,Demo item DO_NOT_ORDER,1,1,2026-06-03T00:59:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100061,2026-06-03T00:59:00Z,demo-art-0061,1001,/demo/images/DEMO-0061.jpg
62,DEMO-0062,Demo Sandale 062,2,5,3840.00,449280.00,5952.00,6912.00,44,Zelena,38,10,Demo item DO_NOT_ORDER,2,2,2026-06-03T00:58:00Z,Sandale,Zensko,Koza,access,demo_artikli,100062,2026-06-03T00:58:00Z,demo-art-0062,1001,/demo/images/DEMO-0062.jpg
63,DEMO-0063,Demo Cizme 063,3,5,3960.00,463320.00,6138.00,7128.00,38,Crna,39,10,Demo item DO_NOT_ORDER,3,3,2026-06-03T00:57:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100063,2026-06-03T00:57:00Z,demo-art-0063,1001,/demo/images/DEMO-0063.jpg
64,DEMO-0064,Demo Odeca 064,4,6,3300.00,386100.00,5115.00,5940.00,39,Bela,8,4,Demo item WATCH,1,4,2026-06-03T00:56:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100064,2026-06-03T00:56:00Z,demo-art-0064,1001,/demo/images/DEMO-0064.jpg
65,DEMO-0065,Demo Patike 065,1,5,3410.00,398970.00,5285.50,6138.00,40,Braon,9,4,Demo item WATCH,2,1,2026-06-03T00:55:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100065,2026-06-03T00:55:00Z,demo-art-0065,1001,/demo/images/DEMO-0065.jpg
66,DEMO-0066,Demo Sandale 066,2,1,3520.00,411840.00,5456.00,6336.00,41,Plava,10,4,Demo item WATCH,3,2,2026-06-03T00:54:00Z,Sandale,Zensko,Koza,access,demo_artikli,100066,2026-06-03T00:54:00Z,demo-art-0066,1001,/demo/images/DEMO-0066.jpg
