Id,SaleId,ProductId,Qty,UnitPrice,LineTotal,NabavnaCena,DataOrigin
1,1,8,1,8370.00,8370.00,4650.00,access
2,1,25,2,7956.00,15912.00,4420.00,access
3,1,39,1,10152.00,10152.00,5640.00,access
4,2,15,2,7560.00,15120.00,4200.00,access
5,2,32,1,7956.00,7956.00,4420.00,access
6,2,46,1,10476.00,10476.00,5820.00,access
7,3,22,1,7254.00,7254.00,4030.00,access
8,3,39,1,10152.00,10152.00,5640.00,access
9,3,53,1,10800.00,10800.00,6000.00,access
10,4,13,1,8370.00,8370.00,4650.00,access
11,4,30,2,7488.00,14976.00,4160.00,access
12,4,44,1,9828.00,9828.00,5460.00,access
13,5,20,2,8424.00,16848.00,4680.00,access
14,5,37,1,9504.00,9504.00,5280.00,access
15,5,51,1,10152.00,10152.00,5640.00,access
16,6,27,1,8424.00,8424.00,4680.00,access
17,6,44,1,9828.00,9828.00,5460.00,access
18,6,58,1,6912.00,6912.00,3840.00,access
19,7,18,1,7956.00,7956.00,4420.00,access
20,7,35,2,7020.00,14040.00,3900.00,access
21,7,49,1,9504.00,9504.00,5280.00,access
22,8,25,2,7956.00,15912.00,4420.00,access
23,8,42,1,9180.00,9180.00,5100.00,access
24,8,56,1,6480.00,6480.00,3600.00,access
25,9,32,1,7956.00,7956.00,4420.00,access
26,9,49,1,9504.00,9504.00,5280.00,access
27,9,63,1,7128.00,7128.00,3960.00,access
28,10,23,1,7488.00,7488.00,4160.00,access
29,10,40,2,10476.00,20952.00,5820.00,access
30,10,54,1,6912.00,6912.00,3840.00,access
31,11,30,2,7488.00,14976.00,4160.00,access
32,11,47,1,10800.00,10800.00,6000.00,access
33,11,61,1,6696.00,6696.00,3720.00,access
34,12,37,1,9504.00,9504.00,5280.00,access
35,12,54,1,6912.00,6912.00,3840.00,access
36,12,68,1,6732.00,6732.00,3740.00,access
37,13,28,1,7020.00,7020.00,3900.00,access
38,13,45,2,10152.00,20304.00,5640.00,access
39,13,59,1,7128.00,7128.00,3960.00,access
40,14,35,2,7020.00,14040.00,3900.00,access
41,14,52,1,10476.00,10476.00,5820.00,access
42,14,66,1,6336.00,6336.00,3520.00,access
43,15,42,1,9180.00,9180.00,5100.00,access
44,15,59,1,7128.00,7128.00,3960.00,access
45,15,73,1,6138.00,6138.00,3410.00,access
46,16,33,1,8190.00,8190.00,4550.00,access
47,16,50,2,9828.00,19656.00,5460.00,access
48,16,64,1,5940.00,5940.00,3300.00,access
49,17,40,2,10476.00,20952.00,5820.00,access
50,17,57,1,6696.00,6696.00,3720.00,access
51,17,71,1,7326.00,7326.00,4070.00,access
52,18,47,1,10800.00,10800.00,6000.00,access
53,18,64,1,5940.00,5940.00,3300.00,access
54,18,78,1,7128.00,7128.00,3960.00,access
55,19,38,1,9828.00,9828.00,5460.00,access
56,19,55,2,7128.00,14256.00,3960.00,access
57,19,69,1,6930.00,6930.00,3850.00,access
58,20,45,2,10152.00,20304.00,5640.00,access
59,20,62,1,6912.00,6912.00,3840.00,access
60,20,76,1,6732.00,6732.00,3740.00,access
61,21,52,1,10476.00,10476.00,5820.00,access
62,21,69,1,6930.00,6930.00,3850.00,access
63,21,83,1,6534.00,6534.00,3630.00,access
64,22,43,1,9504.00,9504.00,5280.00,access
65,22,60,2,6480.00,12960.00,3600.00,access
66,22,74,1,6336.00,6336.00,3520.00,access
67,23,50,2,9828.00,19656.00,5460.00,access
68,23,67,1,6534.00,6534.00,3630.00,access
69,23,81,1,6138.00,6138.00,3410.00,access
70,24,57,1,6696.00,6696.00,3720.00,access
71,24,74,1,6336.00,6336.00,3520.00,access
