Id,SaleId,BrojRacuna,SaleTimestampUtc,StoreId,PaymentType,TotalAmount,TotalUnits,TotalLines,DataOrigin
1,1,R-20251206-1-00001,2025-12-06T09:01:00Z,1,card,34434.00,4,3,access
2,2,R-20251206-2-00002,2025-12-06T10:02:00Z,2,card,33552.00,4,3,access
3,3,R-20251206-3-00003,2025-12-06T11:03:00Z,3,card,28206.00,3,3,access
4,4,R-20251207-1-00004,2025-12-07T09:02:00Z,1,cash,33174.00,4,3,access
5,5,R-20251207-2-00005,2025-12-07T10:03:00Z,2,cash,36504.00,4,3,access
6,6,R-20251207-3-00006,2025-12-07T11:04:00Z,3,cash,25164.00,3,3,access
7,7,R-20251208-1-00007,2025-12-08T09:03:00Z,1,card,31500.00,4,3,access
8,8,R-20251208-2-00008,2025-12-08T10:04:00Z,2,card,31572.00,4,3,access
9,9,R-20251208-3-00009,2025-12-08T11:05:00Z,3,card,24588.00,3,3,access
10,10,R-20251209-1-00010,2025-12-09T09:04:00Z,1,cash,35352.00,4,3,access
11,11,R-20251209-2-00011,2025-12-09T10:05:00Z,2,cash,32472.00,4,3,access
12,12,R-20251209-3-00012,2025-12-09T11:06:00Z,3,cash,23148.00,3,3,access
13,13,R-20251210-1-00013,2025-12-10T09:05:00Z,1,card,34452.00,4,3,access
14,14,R-20251210-2-00014,2025-12-10T10:06:00Z,2,card,30852.00,4,3,access
15,15,R-20251210-3-00015,2025-12-10T11:07:00Z,3,card,22446.00,3,3,access
16,16,R-20251211-1-00016,2025-12-11T09:06:00Z,1,cash,33786.00,4,3,access
17,17,R-20251211-2-00017,2025-12-11T10:07:00Z,2,cash,34974.00,4,3,access
18,18,R-20251211-3-00018,2025-12-11T11:08:00Z,3,cash,23868.00,3,3,access
19,19,R-20251212-1-00019,2025-12-12T09:07:00Z,1,card,31014.00,4,3,access
20,20,R-20251212-2-00020,2025-12-12T10:08:00Z,2,card,33948.00,4,3,access
21,21,R-20251212-3-00021,2025-12-12T11:09:00Z,3,card,23940.00,3,3,access
22,22,R-20251213-1-00022,2025-12-13T09:08:00Z,1,cash,28800.00,4,3,access
23,23,R-20251213-2-00023,2025-12-13T10:09:00Z,2,cash,32328.00,4,3,access
24,24,R-20251213-3-00024,2025-12-13T11:10:00Z,3,cash,18972.00,3,3,access
25,25,R-20251214-1-00025,2025-12-14T09:09:00Z,1,card,28782.00,4,3,access
26,26,R-20251214-2-00026,2025-12-14T10:10:00Z,2,card,27324.00,4,3,access
27,27,R-20251214-3-00027,2025-12-14T11:11:00Z,3,card,21168.00,3,3,access
28,28,R-20251215-1-00028,2025-12-15T09:10:00Z,1,cash,31788.00,4,3,access
29,29,R-20251215-2-00029,2025-12-15T10:11:00Z,2,cash,26424.00,4,3,access
30,30,R-20251215-3-00030,2025-12-15T11:12:00Z,3,cash,19602.00,3,3,access
31,31,R-20251216-1-00031,2025-12-16T09:11:00Z,1,card,26118.00,4,3,access
32,32,R-20251216-2-00032,2025-12-16T10:12:00Z,2,card,24552.00,4,3,access
33,33,R-20251216-3-00033,2025-12-16T11:13:00Z,3,card,17658.00,3,3,access
34,34,R-20251217-1-00034,2025-12-17T09:12:00Z,1,cash,26136.00,4,3,access
35,35,R-20251217-2-00035,2025-12-17T10:13:00Z,2,cash,26802.00,4,3,access
36,36,R-20251217-3-00036,2025-12-17T11:14:00Z,3,cash,19638.00,3,3,access
