ProductId,StoreId,StoreName,StockOnHand,MinimumStock,RiskLabel
1,1,Demo City Center,4,8,Healthy
1,2,Demo Shopping Park,2,8,Healthy
1,3,Demo Outlet,3,8,Healthy
2,1,Demo City Center,2,8,Healthy
2,2,Demo Shopping Park,3,8,Healthy
2,3,Demo Outlet,4,8,Healthy
3,1,Demo City Center,3,8,Healthy
3,2,Demo Shopping Park,4,8,Healthy
3,3,Demo Outlet,2,8,Healthy
4,1,Demo City Center,4,8,Healthy
4,2,Demo Shopping Park,2,8,Healthy
4,3,Demo Outlet,3,8,Healthy
5,1,Demo City Center,2,8,Healthy
5,2,Demo Shopping Park,3,8,Healthy
5,3,Demo Outlet,4,8,Healthy
6,1,Demo City Center,3,8,Healthy
6,2,Demo Shopping Park,4,8,Healthy
6,3,Demo Outlet,2,8,Healthy
7,1,Demo City Center,4,8,Healthy
7,2,Demo Shopping Park,2,8,Healthy
7,3,Demo Outlet,3,8,Healthy
8,1,Demo City Center,2,8,Healthy
8,2,Demo Shopping Park,3,8,Healthy
8,3,Demo Outlet,4,8,Healthy
9,1,Demo City Center,3,8,Healthy
9,2,Demo Shopping Park,4,8,Healthy
9,3,Demo Outlet,2,8,Healthy
10,1,Demo City Center,4,8,Healthy
10,2,Demo Shopping Park,2,8,Healthy
10,3,Demo Outlet,3,8,Healthy
11,1,Demo City Center,2,8,Healthy
11,2,Demo Shopping Park,3,8,Healthy
11,3,Demo Outlet,4,8,Healthy
12,1,Demo City Center,3,8,Healthy
12,2,Demo Shopping Park,4,8,Healthy
12,3,Demo Outlet,2,8,Healthy
13,1,Demo City Center,4,8,Healthy
13,2,Demo Shopping Park,2,8,Healthy
13,3,Demo Outlet,3,8,Healthy
14,1,Demo City Center,2,8,Healthy
14,2,Demo Shopping Park,3,8,Healthy
14,3,Demo Outlet,4,8,Healthy
15,1,Demo City Center,3,8,Healthy
15,2,Demo Shopping Park,4,8,Healthy
15,3,Demo Outlet,2,8,Healthy
16,1,Demo City Center,1,6,OOS risk
16,2,Demo Shopping Park,0,6,OOS risk
16,3,Demo Outlet,1,6,OOS risk
17,1,Demo City Center,0,6,OOS risk
17,2,Demo Shopping Park,1,6,OOS risk
17,3,Demo Outlet,0,6,OOS risk
18,1,Demo City Center,1,6,OOS risk
18,2,Demo Shopping Park,0,6,OOS risk
18,3,Demo Outlet,1,6,OOS risk
19,1,Demo City Center,0,6,OOS risk
19,2,Demo Shopping Park,1,6,OOS risk
19,3,Demo Outlet,0,6,OOS risk
20,1,Demo City Center,1,6,OOS risk
20,2,Demo Shopping Park,0,6,OOS risk
20,3,Demo Outlet,1,6,OOS risk
21,1,Demo City Center,0,6,OOS risk
21,2,Demo Shopping Park,1,6,OOS risk
21,3,Demo Outlet,0,6,OOS risk
22,1,Demo City Center,1,6,OOS risk
22,2,Demo Shopping Park,0,6,OOS risk
22,3,Demo Outlet,1,6,OOS risk
23,1,Demo City Center,0,6,OOS risk
23,2,Demo Shopping Park,1,6,OOS risk
23,3,Demo Outlet,0,6,OOS risk
24,1,Demo City Center,1,6,OOS risk
24,2,Demo Shopping Park,0,6,OOS risk
24,3,Demo Outlet,1,6,OOS risk
25,1,Demo City Center,0,6,OOS risk
25,2,Demo Shopping Park,1,6,OOS risk
25,3,Demo Outlet,0,6,OOS risk
26,1,Demo City Center,1,6,OOS risk
26,2,Demo Shopping Park,0,6,OOS risk
26,3,Demo Outlet,1,6,OOS risk
27,1,Demo City Center,0,6,OOS risk
27,2,Demo Shopping Park,1,6,OOS risk
27,3,Demo Outlet,0,6,OOS risk
28,1,Demo City Center,1,6,OOS risk
28,2,Demo Shopping Park,0,6,OOS risk
