entity_id|entity_name|is_unknown|total_revenue|total_units|item_count|total_cost
-2004188974|Nepoznato|t|5722700.00|1256|127|3089066.00
-424518832|Nepoznato|t|5429700.00|1276|97|3039432.00
177557739|Cizma|f|3434500.00|466|67|2033294.00
1221684999|Gleznjaca|f|2455620.00|412|49|1339800.00
-1854069646|Nepoznato|t|1227920.00|296|20|658154.00
1223587930|Polucizma|f|972040.00|146|17|573364.00
1846163462|Papuca|f|954540.00|608|23|481726.00
428202041|Klompa|f|780060.00|362|7|392940.00
1223053020|Duboka cipela|f|481820.00|80|11|278520.00
-223965721|Nepoznato|t|466640.00|168|46|253452.00
1222369825|Patika|f|447260.00|82|13|243840.00
1714102003|hemija|f|60140.00|110|5|21040.00
1224798679|Oprema|f|47200.00|254|15|21198.00
1420366842|uložak|f|43360.00|136|8|20900.00
1127150424|Sandaleta|f|11960.00|4|1|13400.00
-838387972|Nepoznato|t|6360.00|4|1|7936.00
(16 rows)
