entity_id|entity_name|is_unknown|total_revenue|total_units|item_count|total_cost
1496651500|Rieker|f|4665100.00|666|79|2603116.00
1447386007|Planika|f|2983540.00|502|57|1590412.00
-2583204|Nepoznato|t|2547320.00|538|43|1475586.00
1403981726|Neta|f|2313120.00|792|51|1172438.00
894901603|UnA plus|f|1470940.00|764|20|731160.00
-1494110814|Nepoznato|t|1241480.00|444|30|671908.00
1138972461|Panda|f|1220860.00|114|17|700340.00
-1921732250|Nepoznato|t|994920.00|152|17|543316.00
1455987440|Remonte|f|783180.00|100|17|443246.00
43081027|Antilop|f|549240.00|100|14|258486.00
-1246070183|Nepoznato|t|523400.00|94|8|298692.00
-1387965035|Nepoznato|t|466640.00|168|46|253452.00
-2122024036|Nepoznato|t|388520.00|140|5|201660.00
1505237741|SZR Krstic|f|334220.00|92|10|175760.00
944887862|Lotos|f|312720.00|82|10|174524.00
-2107924236|Nepoznato|t|258800.00|38|4|125840.00
-424022044|Nepoznato|t|210200.00|38|5|145342.00
924854256|RV|f|181440.00|42|12|123148.00
1553401532|Moda Pele|f|153800.00|26|4|90570.00
201974218|Medont|f|151580.00|42|3|128332.00
-387317983|Nepoznato|t|140700.00|32|6|84432.00
1777147070|olihem|f|132600.00|324|21|55286.00
-8299083|Nepoznato|t|95900.00|54|3|91800.00
234949275|Mikoš Comerc|f|85440.00|52|7|51726.00
-795004884|Nepoznato|t|54960.00|14|2|48840.00
616884539|Solo|f|39920.00|8|2|52800.00
-1745916472|Nepoznato|t|36000.00|8|1|20000.00
-492938115|Nepoznato|t|35920.00|8|2|35328.00
877885386|stefi|f|31920.00|8|1|25168.00
-1989373429|Nepoznato|t|29940.00|6|1|20700.00
-1009320480|Nepoznato|t|28800.00|8|1|23704.00
1299273715|Eurosicom|f|16200.00|28|2|10712.00
1593824280|Leon|f|14340.00|8|1|7200.00
483994752|stefi|f|11960.00|4|1|12400.00
-1954156614|Nepoznato|t|11000.00|2|1|6664.00
327687037|Medigo M|f|9380.00|4|1|5248.00
-1879980587|Nepoznato|t|8660.00|154|1|2926.00
-2121217927|Nepoznato|t|7160.00|4|1|5800.00
(38 rows)
