entity_id|prev_revenue|prev_units
-2122024036|517100.00|150
-2121217927|54520.00|28
-1989373429|15960.00|4
-1987317075|2880.00|4
-1954156614|13800.00|2
-1921732250|668460.00|146
-1879980587|5600.00|70
-1745916472|63000.00|14
-1561414486|67700.00|122
-1494110814|1626680.00|550
-1387965035|120180.00|46
-1246070183|407740.00|74
-1009320480|92360.00|18
-920376136|21660.00|32
-795004884|360800.00|102
-492938115|235980.00|52
-424022044|118200.00|18
-387317983|247840.00|60
-8299083|151460.00|54
-2583204|2191222.00|472
43081027|570500.00|124
201974218|345620.00|104
234949275|114800.00|78
327687037|10800.00|4
483994752|79500.00|30
616884539|67740.00|12
877885386|111520.00|34
894901603|778420.00|490
924854256|830800.00|180
944887862|161740.00|44
1138972461|578760.00|46
1218618884|20460.00|18
1234385176|409280.00|102
1299273715|12000.00|16
1365192110|60760.00|26
1394282772|1200.00|4
1403981726|2232320.00|824
1447386007|2611160.00|494
1455987440|998040.00|118
1496651500|4550400.00|644
1505237741|608140.00|166
1553401532|366680.00|52
1593824280|200520.00|98
1777147070|151100.00|346
(44 rows)
